GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,19,57,0,0,6,16,1,5,1,5
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,29,17,8,0,6,6,5,4,1,4
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,38,114,0,4,15,32,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,0,95,0,4,0,27,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,ErrorController,0,13,0,0,0,4,0,2,0,2
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,7,123,0,6,3,34,0,11,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,21,80,2,2,6,23,2,8,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,21,81,2,2,6,23,2,8,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,21,80,2,2,6,23,2,8,0,8
spring-boot-skeleton,com.nnk.springboot.services,RuleNameService,68,119,0,0,17,32,1,7,1,7
spring-boot-skeleton,com.nnk.springboot.services,UserService,0,212,1,5,0,49,1,8,0,6
spring-boot-skeleton,com.nnk.springboot.services,CurvePointService,69,113,0,0,17,31,1,7,1,7
spring-boot-skeleton,com.nnk.springboot.services,BidListService,69,155,0,6,17,43,1,10,1,7
spring-boot-skeleton,com.nnk.springboot.services,TradeService,59,83,0,0,15,22,0,7,0,7
spring-boot-skeleton,com.nnk.springboot.services,RatingService,75,111,1,1,19,31,2,7,1,7
spring-boot-skeleton,com.nnk.springboot.services,CustomUserDetailService,11,55,1,1,2,12,1,3,0,3
spring-boot-skeleton,com.nnk.springboot.config,CustomUserDetailService,70,0,2,0,17,0,5,0,4,0
spring-boot-skeleton,com.nnk.springboot.config,CustomAuthenticationSuccessHandler,0,27,0,4,0,8,0,4,0,2
spring-boot-skeleton,com.nnk.springboot.config,SecurityConfig,0,194,0,0,0,27,0,9,0,9
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,Exception,GlobalHandlerException,7,0,0,0,2,0,1,0,1,0
spring-boot-skeleton,Exception,UserExistingException,0,4,0,0,0,2,0,1,0,1
